MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
5e:53:c3:63:90:42,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:34,161,5805,-89,32.000945,-102.093483,824.2725634,4,,,WIFI
a8:fb:40:6c:11:58,ATTKrZkquT,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:34,52,5260,-88,32.000939,-102.093505,824.2725634,4,,,WIFI
38:a0:67:a2:35:54,Gio1983,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:34,11,2462,-90,32.000926,-102.093536,824.2725634,4,,,WIFI
a8:fb:40:6c:11:5c,ATTKrZkquT,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:35,100,5500,-86,32.000912,-102.093589,824.2725634,4,,,WIFI
5a:16:d7:e5:19:c9,Kate6294,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:35,11,2462,-78,32.000878,-102.093696,824.2725634,4,,,WIFI
5c:53:c3:63:90:3e,MyOptimum 63903b,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:35,1,2412,-71,32.000857,-102.093765,824.2725634,4,,,WIFI
5c:53:c3:63:90:3f,MyOptimum 63903b,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:35,161,5805,-91,32.00083,-102.093872,824.2725634,4,,,WIFI
48:41:7b:1e:3f:c5,Mix guest,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:36,11,2462,-87,32.00082,-102.093925,824.2725634,4,,,WIFI
48:41:7b:1e:3f:c4,Mix,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:36,11,2462,-87,32.000808,-102.093978,824.2725634,4,,,WIFI
a8:fb:40:6c:11:5f,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:37,100,5500,-86,32.000798,-102.094031,824.2725634,4,,,WIFI
6c:ae:f6:5c:94:63,,[RSN-SAE-CCMP],25/10/2024 00:37,6,2437,-85,32.000789,-102.094062,824.3488185,3,,,WIFI
6c:ae:f6:5c:94:66,JberryWiFi,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:37,6,2437,-86,32.000785,-102.094085,824.3488185,3,,,WIFI
6c:ae:f6:5c:94:69,,[ESS],25/10/2024 00:37,6,2437,-87,32.000777,-102.094115,824.3488185,3,,,WIFI
66:e2:20:99:de:a0,MBUX 21377,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 00:37,36,5180,-88,32.000773,-102.094139,824.3488567,3,,,WIFI
b2:00:73:52:1f:e2,myGMC,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:38,11,2462,-89,32.000769,-102.094154,824.3488567,3,,,WIFI
a8:40:0b:67:8c:f8,HotspotiXKm,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],25/10/2024 00:38,6,2437,-73,32.000769,-102.094177,824.3488567,3,,,WIFI
0c:83:cc:f3:55:70,tlf35570,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:38,1,2412,-85,32.000765,-102.094192,824.2879586,3,,,WIFI
10:da:43:8e:f8:bb,Evans,[WEP][ESS],25/10/2024 00:38,1,2412,-91,32.000766,-102.09423,824.2879586,3,,,WIFI
b4:63:6f:26:d7:2c,ATTNMym75m,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:38,100,5500,-88,32.000751,-102.094352,824.2879586,3,,,WIFI
38:94:ed:5d:67:37,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:39,3,2422,-83,32.000731,-102.094558,824.2879586,3,,,WIFI
b4:63:6f:26:d7:2f,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:39,100,5500,-90,32.000724,-102.094642,824.2879586,3,,,WIFI
38:94:ed:5d:67:39,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:39,157,5785,-93,32.000725,-102.094696,824.2879586,3,,,WIFI
38:94:ed:5d:67:38,Woodford's Crib,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],25/10/2024 00:39,40,5200,-89,32.000721,-102.094711,824.2879586,3,,,WIFI
b4:63:6f:26:d7:24,ATTNMym75m,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:40,1,2412,-70,32.000721,-102.094726,824.2879586,3,,,WIFI
b4:63:6f:26:d7:28,ATTNMym75m,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:40,36,5180,-87,32.000717,-102.094742,824.2879586,3,,,WIFI
38:a0:67:a2:35:54,Gio1983,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:40,11,2462,-84,32.000717,-102.094757,824.2879586,3,,,WIFI
0c:b9:37:c4:eb:66,MyAltice c4eb63,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:41,1,2412,-92,32.000709,-102.094802,824.2879586,3,,,WIFI
fa:b9:5a:4d:44:8d,AT_401_POT_056905_WW_448d,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:42,11,2462,-92,32.000706,-102.094856,824.2879586,3,,,WIFI
